1333,1308 CARROLL STREET                      ,Brooklyn,NY,11213
1334,39 BRIGHTON 6 COURT                      ,Brooklyn,NY,11235
1335,1967 BAY RIDGE PARKWAY                   ,Brooklyn,NY,11204
1336,1967 BAY RIDGE PARKWAY                   ,Brooklyn,NY,11204
1337,1970 BERGEN STREET                       ,Brooklyn,NY,11233
1338,160 WEIRFIELD STREET                     ,Brooklyn,NY,11221
1339,1308 EAST 37TH STREET                    ,Brooklyn,NY,11210
1340,119 AVENUE I                             ,Brooklyn,NY,11230
1341,147 MOFFAT STREET                        ,Brooklyn,NY,11207
1342,1706 DEKALB AVENUE                       ,Brooklyn,NY,11237
1343,2549 EAST 28TH STREET                    ,Brooklyn,NY,11235
1344,2750 EAST 23RD STREET                    ,Brooklyn,NY,11235
1345,4714 AVENUE N                            ,Brooklyn,NY,11234
1346,8630 FT HAMILTON PARKWAY                 ,Brooklyn,NY,11209
1347,4004 AVENUE P                            ,Brooklyn,NY,11234
1348,154 ELDERT LANE                          ,Brooklyn,NY,11208
1349,1245 EAST 35TH   STREET                  ,Brooklyn,NY,11210
1350,4598 BEDFORD AVENUE                      ,Brooklyn,NY,11235
1351,562 BAY RIDGE AVE                        ,Brooklyn,NY,11220
1352,8941 16TH AVENUE                         ,Brooklyn,NY,11214
1353,251 45TH   STREET                        ,Brooklyn,NY,11220
1354,1031 76TH   STREET                       ,Brooklyn,NY,11228
1355,2403 DEAN STREET                         ,Brooklyn,NY,11233
1356,286 BATTERY AVENUE                       ,Brooklyn,NY,11209
1357,2120 62ND STREET                         ,Brooklyn,NY,11204
1358,624 VERMONT STREET                       ,Brooklyn,NY,11207
1359,2324 BURNETT STREET                      ,Brooklyn,NY,11229
1360,8929 16TH AVENUE                         ,Brooklyn,NY,11214
1361,1944 65TH STREET                         ,Brooklyn,NY,11204
1362,1775 EASTERN PARKWAY                     ,Brooklyn,NY,11233
1363,5920 BAY PARKWAY                         ,Brooklyn,NY,11204
1364,162 MOFFAT STREET                        ,Brooklyn,NY,11207
1365,1040 JEFFERSON AVENUE                    ,Brooklyn,NY,11221
1366,2235 WEST 1ST STREET                     ,Brooklyn,NY,11223
1367,369 LENOX ROAD                           ,Brooklyn,NY,11226
1368,1144 53RD STREET                         ,Brooklyn,NY,11219
1369,291 BAY 13TH   STREET                    ,Brooklyn,NY,11214
1370,2576 EAST 19TH   STREET                  ,Brooklyn,NY,11235
1371,454 EAST NEW YORK AVENUE                 ,Brooklyn,NY,11225
1372,96 PILLING STREET                        ,Brooklyn,NY,11207
1373,1660 NOSTRAND AVENUE                     ,Brooklyn,NY,11226
1374,443 LAKE STREET                          ,Brooklyn,NY,11223
1375,933 GREENE AVENUE                        ,Brooklyn,NY,11221
1376,1741 PACIFIC STREET                      ,Brooklyn,NY,11213
1377,972A ST JOHNS PLACE                      ,Brooklyn,NY,11213
1378,1250 38TH   STREET                       ,Brooklyn,NY,11218
1379,67 MOTHER GASTON BLVD                    ,Brooklyn,NY,11233
1380,234 ST NICHOLAS AVENUE                   ,Brooklyn,NY,11237
1381,1650 72ND STREET                         ,Brooklyn,NY,11204
1382,266 VAN SICLEN AVENUE                    ,Brooklyn,NY,11207
1383,765 MARCY AVENUE                         ,Brooklyn,NY,11216
1384,137 WEIRFIELD STREET                     ,Brooklyn,NY,11221
1385,7421 AVENUE W                            ,Brooklyn,NY,11234
1386,1136 HANCOCK STREET                      ,Brooklyn,NY,11221
1387,597 EAST 8TH   STREET                    ,Brooklyn,NY,11218
1388,1476 PROSPECT PLACE                      ,Brooklyn,NY,11213
1389,461 SARATOGA AVE                         ,Brooklyn,NY,11233
1390,1274 71ST   STREET                       ,Brooklyn,NY,11228
1391,3302 AVENUE N                            ,Brooklyn,NY,11234
1392,1641 84TH STREET                         ,Brooklyn,NY,11214
1393,8021 14TH AVE                            ,Brooklyn,NY,11228
1394,2334 EAST 26TH   STREET                  ,Brooklyn,NY,11229
1395,1213 EAST 34TH STREET                    ,Brooklyn,NY,11210
1396,1380 STERLING PLACE                      ,Brooklyn,NY,11213
1397,2401 EAST 23RD STREET                    ,Brooklyn,NY,11235
1398,397 EAST 8TH STREET                      ,Brooklyn,NY,11218
1399,3344 SHORE PARKWAY                       ,Brooklyn,NY,11235
1400,553 KOSCIUSZKO STREET                    ,Brooklyn,NY,11221
1401,1943 66TH   STREET                       ,Brooklyn,NY,11204
1402,494 EAST 7TH                             ,Brooklyn,NY,11218
1403,533 QUINCY STREET                        ,Brooklyn,NY,11221
1404,800 LEXINGTON AVENUE                     ,Brooklyn,NY,11221
1405,262 PALMETTO ST                          ,Brooklyn,NY,11221
1406,37 BAY 40TH   STREET                     ,Brooklyn,NY,11214
1407,354 86TH STREET                          ,Brooklyn,NY,11209
1408,874 HANCOCK STREET                       ,Brooklyn,NY,11233
1409,219 DAHLGREN PLACE                       ,Brooklyn,NY,11228
1410,2110 AVENUE X                            ,Brooklyn,NY,11235
1411,2338 EAST 13TH STREET                    ,Brooklyn,NY,11229
1412,1263 PUTNAM AVENUE                       ,Brooklyn,NY,11221
1413,89A COOPER ST                            ,Brooklyn,NY,11207
1414,22 GELSTON AVENUE                        ,Brooklyn,NY,11209
