ID,ADDRESS,CITY,STATE,ZIP CODE,LNG,LAT,NEIGHBORHOOD,BUILDING CLASS CATEGORY,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
121,115 NOEL AVENUE,Brooklyn,NY,11229,-73.924736,40.589046,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,"1,800","1,738",1925,"275,806",1/27/17
122,466 BRADFORD STREET,Brooklyn,NY,11207,-73.89086,40.667473,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"2,000","1,520",1901,"280,000",2/10/17
123,586 HINSDALE STREET,Brooklyn,NY,11207,-73.89772,40.66027,EAST NEW YORK,03 THREE FAMILY DWELLINGS,"2,000","3,240",2006,"280,000",2/27/17
124,1055 EAST 34TH STREET,Brooklyn,NY,11210,-73.943474,40.63022,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,"2,300","1,840",1915,"280,000",3/22/17
125,731 LENOX ROAD,Brooklyn,NY,11203,-73.93286,40.655212,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,"2,115","1,732",1940,"280,000",4/4/17
126,1195 SCHENECTADY AVENUE,Brooklyn,NY,11203,-73.93243,40.643543,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,"2,000","1,456",1925,"280,000",4/25/17
127,553 SARATOGA AVENUE,Brooklyn,NY,11212,-73.91696,40.667385,BROWNSVILLE,01 ONE FAMILY DWELLINGS,"2,000","1,640",1987,"280,878",4/7/17
128,2032 KIMBALL STREET,Brooklyn,NY,11234,-73.92782,40.61103,MARINE PARK,01 ONE FAMILY DWELLINGS,"2,500",838,1925,"281,500",4/28/17
129,949 EAST 88TH STREET,Brooklyn,NY,11236,-73.90655,40.638466,CANARSIE,01 ONE FAMILY DWELLINGS,"2,350",812,1925,"282,000",4/6/17
130,727 NEW JERSEY AVENUE,Brooklyn,NY,11207,-73.89185,40.661613,EAST NEW YORK,02 TWO FAMILY DWELLINGS,"2,000","1,992",1910,"285,000",4/26/17
131,2001 STRAUSS STREET,Brooklyn,NY,11212,-73.915405,40.665188,BROWNSVILLE,02 TWO FAMILY DWELLINGS,"2,500","2,248",1920,"286,000",3/1/17
132,8813 BAY 16TH STREET,Brooklyn,NY,11214,-74.008705,40.60372,BATH BEACH,02 TWO FAMILY DWELLINGS,"1,643","1,464",1930,"293,700",1/9/17
